rank,test_auc,cell_size,block_size,block_stride,nbins,C
1,0.965546,8,16,8,12,0.01
2,0.965538,8,32,8,9,0.01
3,0.965173,8,32,8,12,0.01
4,0.964165,8,32,16,12,0.01
5,0.963149,8,16,8,9,0.01
6,0.962736,8,32,16,9,0.1
7,0.962728,8,32,16,12,0.1
8,0.962105,8,32,16,9,0.01
9,0.962083,8,32,8,9,0.1
10,0.961437,8,32,16,6,0.1
11,0.960863,8,32,8,6,0.1
12,0.959593,8,32,8,12,0.1
13,0.958554,8,32,8,6,0.01
14,0.958076,8,16,8,6,0.1
15,0.957999,8,32,16,6,1.0
16,0.957739,8,32,8,9,1.0
17,0.957456,8,32,8,12,0.001
18,0.956582,8,16,8,6,0.01
19,0.956520,8,32,8,12,1.0
20,0.956378,8,16,8,9,0.1
21,0.955818,4,16,8,12,0.01
22,0.955767,8,32,8,9,0.001
23,0.955724,8,16,8,12,0.001
24,0.955659,4,16,8,9,0.01
25,0.955204,4,16,4,12,0.001
26,0.955054,4,16,4,9,0.001
27,0.954819,8,32,16,6,0.01
28,0.954219,8,32,16,9,1.0
29,0.953874,8,32,8,6,1.0
30,0.952861,8,16,8,9,0.001
31,0.952088,8,32,16,12,1.0
32,0.951669,8,16,8,12,0.1
33,0.951599,4,16,4,9,0.01
34,0.951273,4,16,8,12,0.001
35,0.950761,4,8,4,12,0.001
36,0.949626,4,16,8,9,1.0
37,0.949460,4,16,8,9,0.001
38,0.949276,4,16,8,9,0.1
39,0.949001,4,16,4,9,0.1
40,0.949001,4,16,4,9,1.0
41,0.948254,4,16,4,12,0.1
42,0.948254,4,16,4,12,1.0
43,0.948226,4,8,4,9,0.001
44,0.948149,4,16,4,12,0.01
45,0.948096,4,16,8,12,0.1
46,0.947957,4,16,8,12,1.0
47,0.947719,4,16,4,6,0.001
48,0.947617,4,16,4,6,0.01
49,0.947581,4,8,4,9,0.01
50,0.947250,4,16,8,6,0.01
51,0.946735,4,8,4,12,0.01
52,0.946474,8,32,8,6,0.001
53,0.945968,4,8,4,12,0.1
54,0.945968,4,8,4,12,1.0
55,0.945419,4,16,4,6,0.1
56,0.945419,4,16,4,6,1.0
57,0.945300,4,8,4,9,0.1
58,0.945300,4,8,4,9,1.0
59,0.944304,8,16,8,9,1.0
60,0.944140,8,16,8,12,1.0
61,0.943987,4,16,8,6,0.1
62,0.942182,4,16,8,6,1.0
63,0.940770,4,16,8,6,0.001
64,0.939626,8,16,8,6,1.0
65,0.938789,8,16,8,6,0.001
66,0.938650,4,8,4,6,0.01
67,0.937391,4,8,4,6,0.001
68,0.937337,4,8,4,6,0.1
69,0.937337,4,8,4,6,1.0
70,0.933432,8,32,16,12,0.001
71,0.932411,8,32,16,9,0.001
72,0.923783,8,32,16,6,0.001
